,latitude,longitude
56p114843,51.522069,-0.164399
56p114846,51.50698,-0.004736
56p114849,51.526131,-0.169426
56p114852,51.512246,-0.156176
56p114854,51.51349,-0.15467
56p114857,51.524766,-0.16148
56p114870,51.512915,-0.166137
56p114877,51.455048,-0.20919
56p114881,51.460574,-0.203605
56p114885,51.512246,-0.156176
56p114886,51.719139,0.666518
56p114888,51.498854,-0.183111
56p114890,51.677793,-0.595242
56p114891,51.520262,-0.158706
56p114892,51.50773,-0.10507
56p114895,51.516385,-0.152305
56p115052,51.515533,-0.158767
56p115055,51.520932,-0.168741
56p115061,51.547048,-0.177965
56p115069,51.510586,-0.151862
56p115075,51.514079,-0.150395
56p115082,51.485394,-0.171072
56p115083,51.473717,-0.151869
56p115085,51.520751,-0.158946
56p115087,51.546318,-0.173966
56p115093,51.49417,-0.159556
56p115095,51.516385,-0.152305
56p115101,51.514843,-0.156071
56p115103,51.515709,-0.151093
56p115254,51.520262,-0.158706
56p115255,51.514968,-0.165189
56p115257,51.511623,-0.154847
56p115261,51.528976,-0.169489
56p115269,51.495094,-0.197047
56p115275,51.511109,-0.147345
56p115279,51.495673,-0.191997
56p115280,51.515533,-0.158767
56p115281,51.882997,-0.441753
56p115447,51.404329,-0.091219
56p115450,51.515709,-0.151093
56p115453,51.515076,-0.190623
56p115454,51.523984,-0.160906
56p115462,51.510891,-0.155193
56p115463,51.51298,-0.155397
56p115465,51.520932,-0.168741
56p115475,51.517108,-0.168058
56p115484,51.530953,0.062909
56p115487,51.586236,-0.551798
56p115488,51.516135,-0.190509
56p115490,51.516452,-0.156021
56p115491,51.516452,-0.156021
56p115494,51.510892,-0.154156
56p115495,51.524076,-0.159922
56p115496,51.488881,-0.136132
56p115644,51.513999,-0.159607
56p115648,51.511601,-0.148813
56p115649,51.504678,-0.243729
56p115653,51.541557,-0.068739
56p115655,51.539444,-0.132019
56p115657,51.468407,-0.155554
56p115660,51.540943,-0.160323
56p115661,51.515098,-0.026276
56p115670,51.506829,-0.150256
56p115674,51.507932,-0.149462
56p115677,51.513157,-0.15637
56p115681,51.45864,-0.162972
56p115682,51.507932,-0.149462
56p115683,51.463787,-0.072975
56p115801,51.513611,-0.149794
56p115803,51.454283,-0.144338
56p115804,51.465177,-0.155371
56p115809,51.504756,-0.148111
56p116002,51.396087,-0.074441
56p116006,51.52322,-0.156396
56p116203,51.52322,-0.156396
56p116204,51.513188,-0.02927
56p116206,51.513494,-0.156068
56p116401,51.51133,-0.094247
56p116604,51.5248,-0.160815
56p116611,51.513516,-0.185122
56p116612,51.520477,-0.142698
56p116621,51.495553,-0.206465
56p116623,51.459454,-0.156937
56p116628,51.534648,-0.232844
56p116632,51.459454,-0.156937
56p116634,51.558348,-0.051452
56p116638,51.522092,-0.144751
56p116639,51.507284,-0.145371
56p116640,51.517526,-0.157966
56p116642,51.512329,-0.179909
56p116645,51.52201,-0.150895
56p116646,51.51133,-0.094247
56p116648,51.516613,-0.162284
56p116657,51.615763,-0.179009
56p116659,51.592907,-0.103594
56p116671,51.51325,-0.154291
56p116672,51.516265,-0.159588
56p116678,51.51249,-0.153414
56p116679,51.505965,-0.146775
56p116681,51.510819,-0.155647
56p116682,51.589579,-0.056703
56p116684,51.534052,-0.174389
56p116688,51.514773,-0.159029
56p116693,51.513581,-0.16967
56p116694,51.50773,-0.10507
56p116695,51.510081,-0.154001
56p116708,51.517489,-0.159625
56p116718,51.49337,-0.127737
56p116720,51.500638,-0.184481
56p116731,51.547527,-0.118448
56p116736,51.513398,-0.166578
56p116738,51.654243,-0.155843
56p116741,51.49337,-0.127737
56p116742,51.399714,-0.024359
56p116744,51.510891,-0.155193
56p116748,51.520749,-0.171851
56p116749,51.514553,-0.121363
56p116752,51.598972,0.055304
56p116753,51.51367,-0.153524
56p116756,51.515713,-0.162767
56p116759,51.513157,-0.15637
56p116760,51.52953,-0.176902
56p116761,51.51349,-0.15467
56p116763,51.524055,-0.160283
56p116764,51.50773,-0.10507
56p116775,51.524381,-0.22106
56p116779,51.500719,-0.160272
56p116781,51.523195,-0.153615
56p116782,51.564668,-0.05446
56p116783,51.481174,-0.204586
56p116802,51.501282,-0.277768
56p116804,51.637748,-0.396588
56p116806,51.512915,-0.166137
56p116812,51.54631,-0.052673
56p116813,51.546653,0.00698
56p116818,51.482473,-0.136364
56p116822,51.515294,-0.166473
56p116823,51.434006,-0.159328
56p116824,51.506571,-0.151016
56p116828,51.548313,-0.207525
56p116830,51.513494,-0.156068
56p116832,51.467113,-0.158514
56p116834,51.525745,-0.15566
56p116835,51.516265,-0.159588
56p116838,51.52497,-0.163029
56p116840,51.613869,-0.282234
56p116843,51.52497,-0.163029
56p116849,51.5134,-0.178252
56p116850,51.509765,-0.152832
